1711421633959	-895.432	0.794956	0.0162172	-1.11166t0.0148089	0.314932
1711421633978	-895.432	0.79496	0.0162173	-1.11166t0.0217658	0.306564
1711421633998	-895.431	0.794968	0.0162176	-1.11166t0.0280869	0.297679
1711421634018	-895.43	0.794979	0.016218	0.0162173t0.0649834	1.05104
1711421634058	0.000330607	-0.000619709	-0.00309353	0.0162176t0.0849362	0.953619
1711421634078	0.000331241	-0.000620454	-0.00310342	0.016218t0.101322	0.829712
1711421634098	0.000331497	-0.000620931	-0.00310651	-0.00309353t0.132163	0.851919
1711421634119	0.000330834	-0.000620633	-0.00310018	-0.00310342t0.14818	0.838991
1711421634158	0.000329856	-0.000620275	-0.0030935	-0.00310651t0.164311	0.836671
1711421634178	0.000328576	-0.000619947	-0.00308816	-0.00310018t0.180636	0.836736
1711421634198	0.000326965	-0.00061959	-0.0030831	-0.00310018t0.197159	0.838513
1711421634218	0.000322691	-0.000618845	-0.00307525	-0.00308816t0.230689	0.845517
1711421634258	0.000320022	-0.000618487	-0.00307305	-0.0030831t0.247632	0.84955
1711421634278	0.000317002	-0.000618129	-0.0030718	-0.00307525t0.264665	0.853693
1711421634298	0.000313636	-0.000617772	-0.00307149	-0.00307525t0.28177	0.857064
1711421634318	0.000305941	-0.000617057	-0.00307339	-0.0030718t0.316137	0.861498
1711421634358	0.000301657	-0.000616699	-0.00307545	-0.00307339t0.333373	0.86261
1711421634378	0.000297111	-0.000616312	-0.00307756	-0.00307339t0.350628	0.863226
1711421634398	0.000292323	-0.000615894	-0.00307965	-0.00307545t0.367894	0.863317
1711421634419	0.000282074	-0.00061506	-0.00308532	-0.00307756t0.40243	0.863361
1711421634438	0.000276639	-0.000614613	-0.00308822	-0.00308532t0.419699	0.863436
1711421634478	0.000271016	-0.000614106	-0.00234455	-0.00308532t0.43697	0.863587
1711421634498	0.000265218	-0.0006136	-0.00234416	-0.00308822t0.454245	0.863799
1711421634518	0.000259253	-0.000613063	-0.00234344	-0.00234455t0.471524	0.864048
1711421634538	0.000246904	-0.000612169	-0.00234519	-0.00234416t0.506101	0.865663
1711421634578	0.000240517	-0.000611692	-0.00234572	-0.00234344t0.523409	0.865394
1711421634598	0.000233963	-0.000611186	-0.00234592	-0.00234519t0.540719	0.865554
1711421634618	0.000227242	-0.000610679	-0.0023463	-0.00234519t0.558031	0.86564
1711421634639	0.000213287	-0.000609546	-0.00234561	-0.00234592t0.592658	0.865652
1711421634658	0.000206047	-0.00060895	-0.00234505	-0.00234561t0.609971	0.865587
1711421634698	0.000198625	-0.000608324	-0.00234422	-0.00234505t0.627282	0.865478
1711421634719	0.000191016	-0.000607669	-0.00234311	-0.00234505t0.64459	0.865334
1711421634738	0.000183212	-0.000607013	-0.00234225	-0.00234505t0.661896	0.865161
1711421634758	0.000167005	-0.000605642	-0.00234034	-0.00234311t0.696494	0.864674
1711421634798	0.000158589	-0.000604957	-0.00233983	-0.00234225t0.713786	0.864415
1711421634818	0.000149957	-0.000604212	-0.00233863	-0.00234034t0.731072	0.864173
