38517442.672	3374894.870	2.901
38517442.470	3374894.914	2.900
38517442.268	3374894.969	2.901
38517442.067	3374895.013	2.901
38517441.865	3374895.057	2.901
38517441.663	3374895.112	2.902
38517441.462	3374895.156	2.902
38517441.260	3374895.200	2.903
38517441.039	3374895.255	2.903
38517440.837	3374895.299	2.904
38517440.626	3374895.343	2.905
38517440.415	3374895.398	2.905
38517440.203	3374895.442	2.905
38517440.002	3374895.486	2.906
38517439.781	3374895.541	2.906
38517439.579	3374895.585	2.906
38517439.358	3374895.640	2.907
38517439.157	3374895.684	2.907
38517438.955	3374895.728	2.908
38517438.744	3374895.772	2.908
38517438.542	3374895.816	2.908
38517438.312	3374895.871	2.909
38517438.100	3374895.915	2.909
38517437.889	3374895.970	2.910
38517437.668	3374896.014	2.911
38517437.447	3374896.070	2.911
38517437.245	3374896.114	2.911
38517437.044	3374896.158	2.912
38517436.832	3374896.202	2.912
38517436.621	3374896.246	2.913
38517436.410	3374896.301	2.913
38517436.170	3374896.345	2.914
38517435.949	3374896.400	2.915
38517435.709	3374896.455	2.915
38517435.507	3374896.488	2.916
38517435.286	3374896.543	2.916
38517435.065	3374896.587	2.916
38517434.864	3374896.631	2.917
38517434.662	3374896.675	2.917
38517434.441	3374896.719	2.917
38517434.239	3374896.763	2.917
38517434.038	3374896.807	2.916
38517433.836	3374896.851	2.916
38517433.596	3374896.906	2.916
38517433.394	3374896.950	2.915
38517433.183	3374896.994	2.915
38517432.981	3374897.038	2.914
38517432.770	3374897.082	2.913
38517432.559	3374897.126	2.913
38517432.347	3374897.170	2.911
38517432.136	3374897.214	2.909
38517431.877	3374897.280	2.907
38517431.656	3374897.324	2.905
38517431.416	3374897.379	2.903
38517431.205	3374897.423	2.900
38517430.984	3374897.478	2.897
38517430.772	3374897.533	2.894
38517430.552	3374897.588	2.892
38517430.331	3374897.632	2.889
38517430.119	3374897.687	2.887
38517429.918	3374897.743	2.884
38517429.697	3374897.798	2.881
38517429.476	3374897.853	2.878
38517429.255	3374897.908	2.875
38517429.053	3374897.963	2.873
38517428.804	3374898.029	2.870
38517428.573	3374898.084	2.867
38517428.352	3374898.150	2.865
38517428.150	3374898.205	2.862
38517427.949	3374898.260	2.859
