1711423978324	0.993593	-0.423525	664.396	-1.15786	0.058946	0.00581898t0.0199692	0.154621
1711423978345	0.993954	-0.423679	664.396	-1.15786	0.058946	0.00581898t0.0228317	0.151008
1711423978366	0.994371	-0.423856	664.396	-1.15786	0.0589461	0.00581898t0.025512	0.148141
1711423978387	0.994887	-0.424076	664.395	-1.15786	0.0589462	0.058946t0.0395901	1.37894
1711423978405	0.995816	-0.424472	664.394	-1.15786	0.0589462	0.058946t0.0654914	1.16326
1711423978423	0.997177	-0.425053	664.393	-1.15787	0.0589453	0.0589462t0.0881883	0.857448
1711423978443	0.998887	-0.425782	664.391	-1.15787	0.0589453	0.0589462t0.104963	0.863427
1711423978463	1.00093	-0.426655	664.389	-1.15787	0.0589453	0.0589453t0.123907	1.10212
1711423978483	1.00336	-0.427689	-0.121252	1.57014	-0.0115696	0.0589453t0.143651	0.924481
1711423978503	1.00614	-0.428877	-0.118224	1.57014	-0.0116545	0.0589453t0.161749	0.869456
1711423978523	1.00926	-0.430208	-0.114832	1.57014	-0.0117406	-0.0115696t0.178874	0.949209
1711423978543	1.01272	-0.431683	-0.11107	1.57014	-0.0117449	-0.0116545t0.197368	1.01135
1711423978563	1.01656	-0.433315	-0.106903	1.57014	-0.0117493	-0.0117406t0.218715	1.09022
1711423978583	1.02079	-0.435119	-0.1023	1.57014	-0.0117556	-0.0117449t0.240937	1.15007
1711423978603	1.02545	-0.437101	-0.0972434	1.57014	-0.0117621	-0.0117493t0.263667	1.13763
1711423978623	1.03052	-0.439261	-0.0917312	1.57014	-0.0232124	-0.0117556t0.286449	1.14139
1711423978643	1.03601	-0.4416	-0.0857627	1.57014	-0.0232454	-0.0117621t0.309309	1.19793
1711423978663	1.04193	-0.444125	-0.0793222	1.57014	-0.0232793	-0.0232124t0.33349	1.20784
1711423978683	1.0483	-0.44684	-0.072398	1.57015	-0.0232869	-0.0232454t0.358041	1.28855
1711423978703	1.05513	-0.449751	-0.0649712	1.57015	-0.0232915	-0.0232454t0.383379	1.26331
1711423978723	1.06243	-0.452861	-0.00014087	0.00207547	-0.0232954	-0.0232869t0.408717	1.26607
1711423978743	1.0702	-0.45617	-0.000123762	0.00207943	-0.0232985	-0.0232915t0.434021	1.26406
1711423978763	1.07843	-0.459678	-5.87314e-05	0.00113861	-0.0115177	-0.0232954t0.459299	1.26318
