CMDdriver	GasFeedback	targetVel	AccX	AccY	CMD_acc	GpsSpeed
0.0000	0.0538	5.0000	0.0107	-0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	-0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	-0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	-0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	-0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0001	-0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0008	-0.0000	0.0043	17.9991
0.0000	0.0511	5.0000	0.0019	-0.0000	0.0044	17.9993
0.0000	0.0508	5.0000	-0.0009	-0.0000	0.0037	17.9993
0.0000	0.0515	5.0000	0.0037	0.0000	0.0035	17.9994
0.0000	0.0500	5.0000	-0.0018	0.0000	0.0029	17.9994
0.0000	0.0515	5.0000	0.0038	0.0000	0.0035	17.9996
0.0000	0.0500	5.0000	-0.0075	0.0000	0.0020	17.9994
0.0000	0.0530	5.0000	0.0165	0.0000	0.0030	17.9998
0.0000	0.0500	5.0000	-0.0005	0.0000	0.0007	18.0001
0.0000	0.0504	5.0000	-0.0032	0.0000	-0.0011	17.9998
0.0000	0.0407	5.0000	-0.0640	0.0000	0.0006	17.9981
0.0000	0.0700	5.0000	0.1455	0.0000	0.0102	18.0038
0.0000	0.0500	5.0000	-0.0336	0.0000	-0.0211	18.0065
0.0000	0.0440	5.0000	-0.0478	0.0000	-0.0360	18.0045
0.0000	0.0438	5.0000	-0.0451	0.0000	-0.0069	18.0012
0.0000	0.0522	5.0000	0.0071	0.0000	0.0024	18.0000
0.0000	0.0500	5.0000	-0.0082	0.0000	-0.0003	17.9999
0.0000	0.0425	5.0000	-0.0592	0.0000	-0.0000	17.9976
0.0000	0.0589	5.0000	0.0268	-0.0000	0.0126	17.9976
0.0000	0.0500	5.0000	0.0153	-0.0000	0.0129	17.9996
0.0000	0.0500	5.0000	-0.0016	-0.0000	0.0018	17.9994
0.0000	0.0511	5.0000	0.0036	-0.0000	0.0029	17.9995
0.0000	0.0500	5.0000	-0.0062	-0.0000	0.0025	17.9993
0.0000	0.0528	5.0000	0.0122	-0.0000	0.0034	17.9996
0.0000	0.0500	5.0000	0.0018	-0.0000	-0.0003	18.0000
0.0000	0.0400	5.0000	-0.0643	-0.0000	0.0115	17.9931
0.0000	0.0700	5.0000	0.1663	-0.0000	0.0369	17.9979
0.0000	0.0500	5.0000	-0.0177	-0.0000	0.0109	18.0014
0.0000	0.0591	5.0000	0.0362	-0.0000	-0.0080	18.0029
0.0000	0.0400	5.0000	-0.0215	-0.0000	-0.0162	18.0028
0.0000	0.0417	5.0000	-0.0538	-0.0000	-0.0158	17.9984
0.0000	0.0522	5.0000	0.0182	0.0000	0.0084	17.9979
0.0000	0.0500	5.0000	-0.0067	-0.0000	0.0112	17.9978
0.0000	0.0557	5.0000	0.0300	0.0000	0.0115	17.9988
0.0000	0.0500	5.0000	0.0087	0.0000	0.0001	17.9999
0.0000	0.0500	5.0000	-0.0050	0.0000	0.0020	17.9992
0.0000	0.0522	5.0000	0.0122	0.0000	0.0041	17.9995
0.0000	0.0500	5.0000	-0.0069	0.0000	0.0023	17.9996
0.0000	0.0529	5.0000	0.0086	0.0000	0.0020	17.9998
0.0000	0.0500	5.0000	0.0017	0.0000	0.0006	18.0002
0.0000	0.0500	5.0000	-0.0042	0.0000	-0.0015	17.9999
0.0000	0.0409	5.0000	-0.0698	0.0000	0.0004	17.9963
0.0000	0.0700	5.0000	0.1650	0.0000	0.0196	18.0004
0.0000	0.0500	5.0000	0.0042	-0.0000	-0.0023	18.0044
0.0000	0.0400	5.0000	-0.0430	0.0000	-0.0096	18.0017
0.0000	0.0507	5.0000	-0.0027	-0.0000	0.0066	17.9985
0.0000	0.0530	5.0000	0.0170	-0.0000	0.0080	17.9991
0.0000	0.0500	5.0000	-0.0073	0.0000	0.0043	17.9993
0.0000	0.0537	5.0000	0.0125	0.0000	0.0032	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0007	18.0004
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0026	18.0001
0.0000	0.0404	5.0000	-0.0731	0.0000	-0.0008	17.9964
0.0000	0.0600	5.0000	0.0877	0.0000	0.0192	17.9975
0.0000	0.0500	5.0000	0.0014	0.0000	0.0135	17.9994
0.0000	0.0538	5.0000	0.0106	0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0001	0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0013	0.0000	0.0043	17.9991
0.0000	0.0510	5.0000	0.0008	0.0000	0.0045	17.9992
0.0000	0.0512	5.0000	0.0027	0.0000	0.0042	17.9993
0.0000	0.0505	5.0000	-0.0020	0.0000	0.0035	17.9993
0.0000	0.0518	5.0000	0.0027	0.0000	0.0030	17.9994
0.0000	0.0501	5.0000	-0.0045	0.0000	0.0024	17.9992
0.0000	0.0522	5.0000	0.0117	0.0000	0.0041	17.9995
0.0000	0.0500	5.0000	-0.0069	0.0000	0.0023	17.9995
0.0000	0.0530	5.0000	0.0087	0.0000	0.0021	17.9998
0.0000	0.0500	5.0000	0.0017	0.0000	0.0007	18.0002
0.0000	0.0500	5.0000	-0.0043	0.0000	-0.0014	17.9998
0.0000	0.0409	5.0000	-0.0696	0.0000	0.0005	17.9963
0.0000	0.0700	5.0000	0.1649	0.0000	0.0196	18.0004
0.0000	0.0500	5.0000	0.0041	-0.0000	-0.0023	18.0044
0.0000	0.0400	5.0000	-0.0430	-0.0000	-0.0096	18.0017
0.0000	0.0507	5.0000	-0.0025	0.0000	0.0067	17.9985
0.0000	0.0529	5.0000	0.0168	0.0000	0.0080	17.9991
0.0000	0.0500	5.0000	-0.0072	0.0000	0.0044	17.9993
0.0000	0.0537	5.0000	0.0126	0.0000	0.0032	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0007	18.0004
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0025	18.0001
0.0000	0.0404	5.0000	-0.0731	0.0000	-0.0008	17.9964
0.0000	0.0600	5.0000	0.0877	0.0000	0.0192	17.9975
0.0000	0.0500	5.0000	0.0015	0.0000	0.0135	17.9994
0.0000	0.0538	5.0000	0.0106	0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0002	-0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0014	-0.0000	0.0043	17.9991
0.0000	0.0510	5.0000	0.0007	0.0000	0.0045	17.9992
0.0000	0.0512	5.0000	0.0027	0.0000	0.0042	17.9993
0.0000	0.0505	5.0000	-0.0021	0.0000	0.0035	17.9993
0.0000	0.0518	5.0000	0.0028	0.0000	0.0030	17.9994
0.0000	0.0500	5.0000	-0.0046	0.0000	0.0024	17.9992
0.0000	0.0522	5.0000	0.0122	0.0000	0.0042	17.9995
0.0000	0.0500	5.0000	-0.0070	0.0000	0.0023	17.9996
0.0000	0.0530	5.0000	0.0087	0.0000	0.0021	17.9998
0.0000	0.0500	5.0000	0.0017	0.0000	0.0006	18.0002
0.0000	0.0500	5.0000	-0.0043	0.0000	-0.0015	17.9999
0.0000	0.0409	5.0000	-0.0698	0.0000	0.0004	17.9963
0.0000	0.0700	5.0000	0.1650	0.0000	0.0196	18.0004
0.0000	0.0500	5.0000	0.0042	-0.0000	-0.0023	18.0044
0.0000	0.0400	5.0000	-0.0430	-0.0000	-0.0096	18.0017
0.0000	0.0507	5.0000	-0.0026	-0.0000	0.0067	17.9985
0.0000	0.0529	5.0000	0.0168	0.0000	0.0080	17.9991
0.0000	0.0500	5.0000	-0.0072	0.0000	0.0044	17.9993
0.0000	0.0537	5.0000	0.0126	0.0000	0.0032	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0007	18.0004
0.0000	0.0500	5.0000	-0.0038	-0.0000	-0.0025	18.0001
0.0000	0.0404	5.0000	-0.0731	-0.0000	-0.0008	17.9964
0.0000	0.0600	5.0000	0.0877	0.0000	0.0192	17.9975
0.0000	0.0500	5.0000	0.0015	-0.0000	0.0135	17.9994
0.0000	0.0538	5.0000	0.0106	-0.0000	0.0009	17.9998
0.0000	0.0500	5.0000	-0.0046	0.0000	-0.0026	18.0001
0.0000	0.0406	5.0000	-0.0776	0.0000	-0.0009	17.9967
0.0000	0.0600	5.0000	0.0751	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0002	0.0000	0.0030	17.9991
0.0000	0.0510	5.0000	0.0007	0.0000	0.0043	17.9991
0.0000	0.0512	5.0000	0.0021	0.0000	0.0045	17.9992
0.0000	0.0507	5.0000	-0.0012	0.0000	0.0038	17.9993
0.0000	0.0516	5.0000	0.0045	0.0000	0.0036	17.9994
0.0000	0.0500	5.0000	-0.0015	0.0000	0.0027	17.9994
0.0000	0.0513	5.0000	0.0028	0.0000	0.0034	17.9995
0.0000	0.0502	5.0000	-0.0058	0.0000	0.0023	17.9994
0.0000	0.0526	5.0000	0.0131	0.0000	0.0031	17.9997
0.0000	0.0500	5.0000	-0.0012	0.0000	0.0013	17.9999
0.0000	0.0508	5.0000	-0.0018	0.0000	0.0000	17.9997
0.0000	0.0506	5.0000	-0.0020	0.0000	0.0013	17.9996
0.0000	0.0511	5.0000	0.0018	0.0000	0.0018	17.9997
0.0000	0.0500	5.0000	-0.0067	0.0000	0.0015	17.9995
0.0000	0.0526	5.0000	0.0108	0.0000	0.0026	17.9997
0.0000	0.0500	5.0000	0.0012	0.0000	-0.0004	18.0000
0.0000	0.0400	5.0000	-0.0643	0.0000	0.0114	17.9931
0.0000	0.0700	5.0000	0.1663	0.0000	0.0369	17.9979
0.0000	0.0500	5.0000	-0.0176	-0.0000	0.0110	18.0014
0.0000	0.0591	5.0000	0.0363	0.0000	-0.0080	18.0029
0.0000	0.0400	5.0000	-0.0214	0.0000	-0.0162	18.0028
0.0000	0.0417	5.0000	-0.0508	0.0000	-0.0158	17.9984
0.0000	0.0512	5.0000	0.0121	0.0000	0.0085	17.9975
0.0000	0.0500	5.0000	-0.0050	0.0000	0.0131	17.9973
0.0000	0.0558	5.0000	0.0309	0.0000	0.0141	17.9984
0.0000	0.0500	5.0000	0.0091	0.0000	0.0023	17.9995
0.0000	0.0500	5.0000	-0.0048	0.0000	0.0041	17.9988
0.0000	0.0528	5.0000	0.0170	0.0000	0.0061	17.9993
0.0000	0.0500	5.0000	-0.0073	0.0000	0.0032	17.9995
0.0000	0.0533	5.0000	0.0105	0.0000	0.0022	17.9999
0.0000	0.0500	5.0000	0.0026	0.0000	0.0003	18.0004
0.0000	0.0500	5.0000	-0.0042	0.0000	-0.0023	18.0000
0.0000	0.0406	5.0000	-0.0719	0.0000	-0.0004	17.9964
0.0000	0.0600	5.0000	0.0872	0.0000	0.0193	17.9975
0.0000	0.0500	5.0000	0.0012	0.0000	0.0135	17.9993
0.0000	0.0539	5.0000	0.0108	0.0000	0.0010	17.9997
0.0000	0.0500	5.0000	-0.0047	0.0000	-0.0026	18.0001
0.0000	0.0407	5.0000	-0.0773	0.0000	-0.0008	17.9967
0.0000	0.0600	5.0000	0.0750	0.0000	0.0174	17.9973
0.0000	0.0500	5.0000	0.0125	0.0000	0.0145	17.9994
0.0000	0.0506	5.0000	-0.0001	0.0000	0.0031	17.9991
0.0000	0.0510	5.0000	0.0013	0.0000	0.0044	17.9991
0.0000	0.0510	5.0000	0.0008	0.0000	0.0043	17.9992
0.0000	0.0511	5.0000	0.0021	0.0000	0.0040	17.9993
0.0000	0.0506	5.0000	-0.0014	0.0000	0.0034	17.9993
0.0000	0.0515	5.0000	0.0021	0.0000	0.0029	17.9994
0.0000	0.0502	5.0000	-0.0034	0.0000	0.0025	17.9992
0.0000	0.0519	5.0000	0.0090	0.0000	0.0038	17.9995
0.0000	0.0500	5.0000	-0.0067	0.0000	0.0024	17.9995
0.0000	0.0529	5.0000	0.0085	0.0000	0.0025	17.9997
0.0000	0.0500	5.0000	0.0016	-0.0000	0.0011	18.0001
0.0000	0.0500	5.0000	-0.0042	0.0000	-0.0009	17.9998
0.0000	0.0411	5.0000	-0.0686	0.0000	0.0010	17.9963
0.0000	0.0700	5.0000	0.1648	0.0000	0.0198	18.0004
0.0000	0.0500	5.0000	0.0041	-0.0000	-0.0023	18.0043
0.0000	0.0400	5.0000	-0.0430	0.0000	-0.0095	18.0017
0.0000	0.0507	5.0000	-0.0024	0.0000	0.0067	17.9985
0.0000	0.0529	5.0000	0.0165	0.0000	0.0080	17.9991
0.0000	0.0500	5.0000	-0.0073	0.0000	0.0044	17.9993
0.0000	0.0537	5.0000	0.0126	0.0000	0.0033	17.9998
0.0000	0.0500	5.0000	0.0037	0.0000	0.0008	18.0004
0.0000	0.0500	5.0000	-0.0038	0.0000	-0.0025	18.0001
